"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Tmtc2",0,0.710916160179351,0.492,0.169,0,"1","Tmtc2"
"Eng",0,0.704920950415159,0.543,0.093,0,"1","Eng"
"Klf2.1",0,0.704169185493333,0.373,0.165,0,"1","Klf2"
"Tek",0,0.703533210972535,0.559,0.078,0,"1","Tek"
"Itm2b",0,0.697316865975448,0.59,0.35,0,"1","Itm2b"
"Vwf",0,0.687287477495733,0.287,0.055,0,"1","Vwf"
"Clec14a",0,0.678074485854446,0.429,0.068,0,"1","Clec14a"
"Sptbn1",0,0.673208055331388,0.699,0.345,0,"1","Sptbn1"
"Samd12",0,0.668616365289387,0.463,0.105,0,"1","Samd12"
"Prickle2",0,0.656670565687568,0.515,0.193,0,"1","Prickle2"
"Ccdc85a",0,0.651342729454449,0.367,0.056,0,"1","Ccdc85a"
"Itga1",0,0.645401241052174,0.533,0.129,0,"1","Itga1"
"Adgrf5",0,0.644713887788638,0.561,0.182,0,"1","Adgrf5"
"Gpihbp1",0,0.637035343362907,0.331,0.044,0,"1","Gpihbp1"
"Ly6c1",0,0.635291356275423,0.32,0.068,0,"1","Ly6c1"
"Slco2a1",0,0.633855019880064,0.498,0.107,0,"1","Slco2a1"
"Dock9",0,0.628291573637068,0.502,0.134,0,"1","Dock9"
"Plvap",0,0.62449197093154,0.316,0.038,0,"1","Plvap"
"Thbd",0,0.62383622033697,0.423,0.089,0,"1","Thbd"
"Jun.1",0,0.623051676474673,0.467,0.141,0,"1","Jun"
"Acvrl1",0,0.612088230073623,0.475,0.091,0,"1","Acvrl1"
"Sdpr",0,0.604579428996361,0.228,0.017,0,"1","Sdpr"
"Cdk14",0,0.603484724038373,0.535,0.223,0,"1","Cdk14"
"Heg1",0,0.598780347486667,0.482,0.137,0,"1","Heg1"
"Pltp",0,0.598444792658224,0.435,0.102,0,"1","Pltp"
"Arhgap31",0,0.595875963573697,0.536,0.153,0,"1","Arhgap31"
"Acer2",0,0.590664219646806,0.437,0.057,0,"1","Acer2"
"Tcf4",0,0.578528861694356,0.614,0.236,0,"1","Tcf4"
"Cemip2",0,0.565903726502786,0.377,0.074,0,"1","Cemip2"
"Scn7a",0,0.558451374849055,0.364,0.124,0,"1","Scn7a"
"Ncald",0,0.55230753769604,0.419,0.084,0,"1","Ncald"
"Lyve1",0,0.53968062308474,0.254,0.026,0,"1","Lyve1"
"Dach1",0,0.539313884469621,0.413,0.128,0,"1","Dach1"
"Ghr",0,0.535366419864144,0.465,0.174,0,"1","Ghr"
"Ace",0,0.532097024881942,0.419,0.083,0,"1","Ace"
"Plcb4",0,0.526432051241813,0.406,0.099,0,"1","Plcb4"
"Clec1a",0,0.523240981691344,0.398,0.062,0,"1","Clec1a"
"Galnt18",0,0.522958302698755,0.452,0.147,0,"1","Galnt18"
"Foxp1",0,0.521887220949109,0.743,0.413,0,"1","Foxp1"
"Rasal2",0,0.521061914355872,0.424,0.108,0,"1","Rasal2"
"Rnf144a",0,0.51745634327065,0.424,0.081,0,"1","Rnf144a"
"Myzap",0,0.511087255952583,0.389,0.061,0,"1","Myzap"
"Clic4",0,0.509746680483726,0.495,0.192,0,"1","Clic4"
"Iigp1",0,0.500102757064507,0.24,0.056,0,"1","Iigp1"
"Sorbs1",0,0.498916924489453,0.389,0.077,0,"1","Sorbs1"
"B2m.1",0,0.489701072620675,0.59,0.414,0,"1","B2m"
"Aff3",0,0.487805039653536,0.385,0.146,0,"1","Aff3"
