"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"DBI.10",2.24232214287544e-98,-0.436542672089534,0.247,0.47,8.11541229949478e-94,"17","DBI"
"PRDX6.3",4.33900852947457e-98,0.326990036415676,0.534,0.341,1.57037396698743e-93,"17","PRDX6"
"CSTA.14",8.72056235346267e-98,-0.37246475477375,0.005,0.19,3.15614592696521e-93,"17","CSTA"
"NGFRAP1.2",1.0191252900628e-97,0.402390169053842,0.281,0.133,3.68841824979528e-93,"17","NGFRAP1"
"C9orf24.16",2.43410425751538e-97,-0.912974324858758,0.007,0.191,8.80951012879967e-93,"17","C9orf24"
"RPL9.12",4.49246868060116e-97,-0.396984814225775,0.732,0.844,1.62591426488317e-92,"17","RPL9"
"RPL5.13",6.86027867464969e-97,-0.456251261879819,0.599,0.738,2.48287205792922e-92,"17","RPL5"
"RPS29.12",1.20534140506535e-96,-0.563908480967277,0.644,0.79,4.3623716132125e-92,"17","RPS29"
"F3.13",1.98908817499264e-96,0.337848875985319,0.414,0.218,7.19890792293337e-92,"17","F3"
"HLA-E.15",2.84716019023639e-96,-0.981240449680522,0.382,0.548,1.03044421605035e-91,"17","HLA-E"
"ZFP36L2.12",5.95035217345786e-96,-0.580539064560501,0.122,0.335,2.15355145861787e-91,"17","ZFP36L2"
"SFN.11",1.39114287954742e-95,0.670167925319721,0.296,0.138,5.03482430965802e-91,"17","SFN"
"UCP2.8",6.68861779141339e-95,-0.298720765559297,0.01,0.192,2.42074455106833e-90,"17","UCP2"
"ETS2.10",9.35970157238718e-95,-0.390270335582995,0.099,0.308,3.38746319307837e-90,"17","ETS2"
"ARHGAP18.12",1.19213089092284e-94,-0.348100955499654,0.048,0.245,4.31456012042793e-90,"17","ARHGAP18"
"EFHD2.5",4.76539516138424e-94,-0.269580944346292,0.01,0.191,1.72469181680818e-89,"17","EFHD2"
"CD52.16",6.1760064762187e-94,-0.832227032514245,0.012,0.193,2.23522026387307e-89,"17","CD52"
"MT-ND1.12",2.07758879689831e-93,0.653842696099075,0.799,0.699,7.51920937373436e-89,"17","MT-ND1"
